Continent_Of_Death	Country_Of_Death	Location_Of_Death	Dead_Host_Order	BirdTree_Dead_Host_Species	Dead_Host_Native_To	Host_Native_Or_Not	Host_Captive_Or_Wild	Host_Age	Naive_To_Parasite	Parasite_Genus	Parasite_Cytb_Lineage	SESMPD	Parasite_Distribution	Authors_State_Caused_Or_Associated_W_Death	Pathology_Or_Stated_Cause_Of_Death	Paper_Title	Year	Citation	Notes
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
Europe	Austria	Vienna	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 9: ""It seems likely that the severely affected birds in this study also died due to infection with LINN1, which points out the high pathogenic potential of this lineage in Eurasian blackbirds."" Pg. 10: It is important to note, that the infected birds in this study all died naturally, and it remains open, to what extent they suffered from concomitant diseases or other pathogens that might have favoured the severity of malaria infections."""	Haemosporidioses in wild Eurasian blackbirds (Turdus merula) and song thrushes (T. philomelos): an in situ hybridization study with emphasis on exo-erythrocytic parasite burden	2020	Himmel et al.	
